date,quarter,yoy_gdp_growth,yoy_gdp_growth_lag1,yoy_gdp_growth_lag4,inflation,inflation_lag1,industrial_production,industrial_production_lag1,central_bank_rate,central_bank_rate_lag1,exports_growth,exports_growth_lag1,imports_growth,imports_growth_lag1,target
2006-04-01,2,7.406113388603841,10.358047678086635,9.223864048499175,5.949156,4.505076,0.111350431549395,1.321105638327791,6.0,6.0,-5.044558773921559,17.339482131122285,11.020016160247991,4.522688010880804,0.0
2006-07-01,3,10.238903622419304,7.406113388603841,8.443715327432466,6.223156,5.949156,1.4383736799900566,0.111350431549395,6.0,6.0,9.59176972463711,-5.044558773921559,8.633476530080596,11.020016160247991,0.0
2006-10-01,4,9.477460513951709,10.238903622419304,8.973431772066686,6.464124,6.223156,1.7581853546290434,1.4383736799900566,6.0,6.0,-2.676966407482295,9.59176972463711,-1.4269660867278655,8.633476530080596,0.0
2007-01-01,1,9.799831309238293,9.477460513951709,10.358047678086635,7.002801,6.464124,1.3489835887827306,1.7581853546290434,6.0,6.0,16.719226147071574,-2.676966407482295,1.4129536903195294,-1.4269660867278655,0.0
2007-04-01,2,10.809623882277863,9.799831309238293,7.406113388603841,6.318681,7.002801,1.5953585799047472,1.3489835887827306,6.0,6.0,-11.463687788442956,16.719226147071574,0.6860062980970971,1.4129536903195294,1.0
2007-07-01,3,9.140420668433968,10.809623882277863,10.238903622419304,6.702413000000001,6.318681,-0.2907433966905766,1.5953585799047472,6.0,6.0,5.203395896710683,-11.463687788442956,6.0338694515285285,0.6860062980970971,0.0
2007-10-01,4,10.54731053522342,9.140420668433968,9.477460513951709,5.511811,6.702413000000001,1.7270842174444692,-0.2907433966905766,6.0,6.0,10.020342077475398,5.203395896710683,9.028069625440871,6.0338694515285285,1.0
2008-01-01,1,8.825451718101963,10.54731053522342,9.799831309238293,6.282722,5.511811,0.7416538107602261,1.7270842174444692,6.0,6.0,11.729216228729689,10.020342077475398,15.063163819224702,9.028069625440871,0.0
2008-04-01,2,8.08402200324081,8.825451718101963,10.809623882277863,7.7519380000000035,6.282722,0.4577908932366917,0.7416538107602261,6.0,6.0,13.934925654683772,11.729216228729689,9.231900934743752,15.063163819224702,1.0
2008-07-01,3,6.73536566798032,8.08402200324081,9.140420668433968,9.045226,7.7519380000000035,0.3903111370404566,0.4577908932366917,6.0,6.0,7.123993975895582,13.934925654683772,17.4808419241397,9.231900934743752,1.0
2008-10-01,4,1.5346814049250979,6.73536566798032,10.54731053522342,10.19901,9.045226,-2.2037888411019777,0.3903111370404566,6.0,6.0,-8.815008951487668,7.123993975895582,-9.257066948953218,17.4808419241397,1.0
2009-01-01,1,0.2360400253380801,1.5346814049250979,8.825451718101963,9.359606,10.19901,-0.5032903009852536,-2.2037888411019777,6.0,6.0,-4.0509262209082575,-8.815008951487668,-15.397696232343716,-9.257066948953218,0.0
2009-04-01,2,4.993827314129828,0.2360400253380801,8.08402200324081,8.872902,9.359606,1.6880215873168969,-0.5032903009852536,6.0,6.0,-5.165552522616945,-4.0509262209082575,1.7681543641233866,-15.397696232343716,0.0
2009-07-01,3,6.9586777744151895,4.993827314129828,6.73536566798032,11.75115,8.872902,1.6951438434948567,1.6880215873168969,6.0,6.0,4.3116240183936005,-5.165552522616945,7.522371315950238,1.7681543641233866,0.0
2009-10-01,4,8.211040195719077,6.9586777744151895,1.5346814049250979,13.31828,11.75115,0.2774295663713,1.6951438434948567,6.0,6.0,6.528131603515064,4.3116240183936005,15.451234259845847,7.522371315950238,0.0
2010-01-01,1,13.261916904913118,8.211040195719077,0.2360400253380801,15.31532,13.31828,0.9294806709713864,0.2774295663713,6.0,6.0,10.533020993628428,6.528131603515064,3.8791660501734215,15.451234259845847,1.0
2010-04-01,2,10.293486414037378,13.261916904913118,4.993827314129828,13.65639,15.31532,-0.4267727266164436,0.9294806709713864,6.0,6.0,1.7387264048370987,10.533020993628428,5.835634744427565,3.8791660501734215,0.0
2010-07-01,3,9.679394564863086,10.293486414037378,6.9586777744151895,10.30928,13.65639,1.3029995009513011,-0.4267727266164436,6.0,6.0,4.181417822456823,1.7387264048370987,0.7788356955610976,5.835634744427565,0.0
2010-10-01,4,10.69045862943736,9.679394564863086,8.211040195719077,9.163346,10.30928,0.88989121081805,1.3029995009513011,6.0,6.0,16.352957900155985,4.181417822456823,5.807819733045472,0.7788356955610976,0.0
2011-01-01,1,10.32611617043322,10.69045862943736,13.261916904913118,8.984375,9.163346,1.2743767492721991,0.88989121081805,6.0,6.0,12.534027519720436,16.352957900155985,5.666771844531149,5.807819733045472,0.0
2011-04-01,2,10.149064571049893,10.32611617043322,10.293486414037378,8.914728999999998,8.984375,-0.2897750070195999,1.2743767492721991,6.0,6.0,-3.240761470233844,12.534027519720436,13.485100038619224,5.666771844531149,1.0
2011-07-01,3,5.440010218533042,10.149064571049893,9.679394564863086,9.158878,8.914728999999998,-0.9695414978061728,-0.2897750070195999,6.0,6.0,2.202999194497046,-3.240761470233844,1.7025296239905785,13.485100038619224,1.0
2011-10-01,4,4.28098139815789,5.440010218533042,10.69045862943736,8.394160000000001,9.158878,1.2474930064281728,-0.9695414978061728,6.0,6.0,10.726722091520479,2.202999194497046,13.020207104603898,1.7025296239905785,0.0
2012-01-01,1,3.5965810229908524,4.28098139815789,10.32611617043322,7.168459,8.394160000000001,-0.5970081141721506,1.2474930064281728,9.5,6.0,5.543485383322944,10.726722091520479,1.775416867395374,13.020207104603898,0.0
2012-04-01,2,4.867679671262315,3.5965810229908524,10.149064571049893,10.14235,7.168459,-0.2298838592874266,-0.5970081141721506,9.0,9.5,-5.649358920054426,5.543485383322944,-2.284189972401496,1.775416867395374,0.0
2012-07-01,3,7.49316877266728,4.867679671262315,5.440010218533042,9.760274,10.14235,-0.6129793599109663,-0.2298838592874266,9.0,9.0,24.95922247930411,-5.649358920054426,12.310834534983673,-2.284189972401496,1.0
